att1,att2,label
0.29573,1.7858,1
-0.27435,1.7858,1
-0.41685,1.7219,1
-0.48813,1.6771,1
0.18884,1.5557,1
0.47388,1.5876,1
1.2221,1.8305,1
0.4026,1.7603,1
0.22447,1.6387,1
0.72327,1.6387,1
1.0796,1.6835,1
1.5427,1.6068,1
1.0439,1.4661,1
-0.48813,1.4597,1
-0.20309,1.5365,1
6.4596,1.4406,2
5.9964,1.2998,2
6.7089,1.2232,2
7.1721,1.2487,2
7.3146,1.3766,2
6.816,1.3319,2
7.2078,1.4533,2
8.5974,1.4533,2
7.2792,1.2998,2
6.7089,1.4533,2
5.8539,1.4149,2
6.4953,1.383,2
6.3528,1.3638,2
8.241,1.2935,2
7.3503,1.2424,2
7.7424,1.3319,2
7.8492,1.3894,2
3.8229,0.31522,3
2.8967,0.28964,3
1.8278,0.097825,3
2.1841,-0.017264,3
2.7898,-0.1899,3
3.8586,-0.25383,3
5.8896,-0.27941,3
6.2814,-0.18351,3
5.64,0.20652,3
4.8207,0.14898,3
2.6473,-0.01087,3
2.8254,0.09143,3
2.9323,0.1234,3
3.5379,0.16816,3
3.7875,0.033888,3
3.8586,-0.07481,3
4.2861,0.35997,3
4.5,0.28325,3
4.5357,0.097825,3
4.9989,-0.0812,3
5.64,-0.068415,3
5.3907,0.065855,3
6.2103,0.1234,3
5.9964,0.2257,3
4.9632,0.46867,3
5.3196,0.31522,3
5.6757,0.3408,3
6.6735,0.27686,3
6.4239,0.18094,3
6.6378,0.059465,3
6.6378,-0.042839,3
5.355,-0.34335,3
4.7493,-0.2922,3
4.5,-0.1899,3
4.1793,-0.17072,3
