att1,att2,label
0.098575,3.5716,1
-0.091449,3.5716,1
-0.13895,3.4437,1
-0.16271,3.3542,1
0.062945,3.1113,1
0.15796,3.1752,1
0.40736,3.6611,1
0.1342,3.5205,1
0.074822,3.2775,1
0.24109,3.2775,1
0.35986,3.367,1
0.51425,3.2136,1
0.34798,2.9322,1
-0.16271,2.9194,1
-0.067696,3.0729,1
2.1532,2.8811,2
1.9988,2.5997,2
2.2363,2.4463,2
2.3907,2.4974,2
2.4382,2.7532,2
2.272,2.6637,2
2.4026,2.9066,2
2.8658,2.9066,2
2.4264,2.5997,2
2.2363,2.9066,2
1.9513,2.8299,2
2.1651,2.766,2
2.1176,2.7276,2
2.747,2.587,2
2.4501,2.4847,2
2.5808,2.6637,2
2.6164,2.7788,2
1.2743,0.63043,3
0.96556,0.57928,3
0.60926,0.19565,3
0.72803,-0.034527,3
0.92993,-0.3798,3
1.2862,-0.50767,3
1.9632,-0.55882,3
2.0938,-0.36701,3
1.88,0.41304,3
1.6069,0.29795,3
0.88242,-0.021739,3
0.94181,0.18286,3
0.97743,0.2468,3
1.1793,0.33632,3
1.2625,0.067775,3
1.2862,-0.14962,3
1.4287,0.71995,3
1.5,0.5665,3
1.5119,0.19565,3
1.6663,-0.1624,3
1.88,-0.13683,3
1.7969,0.13171,3
2.0701,0.2468,3
1.9988,0.45141,3
1.6544,0.93734,3
1.7732,0.63043,3
1.8919,0.68159,3
2.2245,0.55371,3
2.1413,0.36189,3
2.2126,0.11893,3
2.2126,-0.085678,3
1.785,-0.6867,3
1.5831,-0.5844,3
1.5,-0.3798,3
1.3931,-0.34143,3
